TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Dream Content and Self-Reported Well-Being among Recurrent Dreamers, Past-Recurrent Dreamers, and Non-Recurrent Dreamers.","Brown, R.J.; Donderi, D.C.","1986"
"Coping with Poverty in the Dominican Republic: Women and Their Mates.","Brown, S.","1973"
"A Four-Factor Model of Perceived Control: Avoiding, Coping, Obtaining and Savoring.","Bryant, F.B.","1989"
"The Structure of Psychological Well-Being: A Sociohistorical Analysis.","Bryant, F.B.; Veroff, J.","1982"
"Dimensions of Subjective Mental Health in American Men and Women.","Bryant, F.B.; Veroff, J.","1986"
"The Impact of Type A Behavior on Subjective Life Quality: Bad for the Heart, Good for the Soul?","Bryant, F.B.; Yarnold, P.R.","1990"
"A Human Ecological Approach to Quality of Life: Conceptual Framework and Results of a Preliminary Study.","Bubolz, M.M.; Eicher, J.B.; Evers, S.J.; Sontag, M.S.","1980"
"How Nations see Each Other. A Study in Public Opinion.","Buchanan, W.; Cantril, H.","1953"
"The Social and Emotional Well-Being of Divorced Residential Parents.","Buehler, C.","1988"
"Vorstellungen vom Glück in Unterschiedlichen Altergruppen.","Bühler, C.","1970"
"Glück und Unglück im Bewustsein Moderne Menschen.","Bühler, C.","1961"
"Das Glück und die Theologie.","Buhr, U.","1969"
"Measures of Happiness among Manila Residents.","Bulatao, R.A.","1973"
"Voluntary Association Participation and Life Satisfaction: A Replication Note.","Bull, C.N.; Aucoin, J.B.","1975"
"Effects of Age-Grade, Comparison on Adjustment in Later Life.","Bultena, G.L.; Powers, E.A.","1976"
"Effects of Health on Disengagement and Morale.","Bultena, G.L.; Oyler, M.A.","1971"
"Social Relations, Activities and Personal Adjustment.","Burgess, E.W.","1954"
"Type A Behavior of Administrators' and Spouses' Reports of Marital Satisfaction and Well-Being: Only a Partial Replication.","Burke, R.J.","1982"
"Occupational Demands on Administrators and Spouses' Satisfaction and Well-Being.","Burke, R.J.","1982"
"Impact of Occupational Demands on Non- work Experiences of Senior Administrators.","Burke, R.J.","1982"
"Occupational Locking-in: Some Empirical Findings.","Burke, R.J.; Weir, T.","1982"
"Husband-Wife Helping Relationships: The Mental Hygiene Function in Marriage.","Burke, R.J.; Weir, T.","1974"
"Relationship of Wives' Employment Status to Husband, Wife and Pair Satisfaction and Performance.","Burke, R.J.; Weir, T.","1976"
"Sex Differences in Adolescent Life Stress, Social Support,and Well-Being.","Burke, R.J.; Weir, T.","1978"
